product_id,date,stock_received,damaged_stock,,
153019,23-Mar,4,1,,
848226,23-Mar,4,1,,
965755,23-Mar,1,0,,
39154,23-Mar,4,0,,
34186,23-Mar,3,1,,
478531,23-Mar,4,1,,
812607,23-Mar,4,0,,
818990,23-Mar,4,0,,
284460,23-Mar,4,0,,
654297,23-Mar,4,1,,
376447,23-Mar,4,0,,
888807,23-Mar,1,0,,
41853,23-Mar,4,0,,
257719,23-Mar,4,0,,
799952,23-Mar,3,0,,
833557,23-Mar,4,0,,
324809,23-Mar,1,0,,
592784,23-Mar,3,0,,
487065,23-Mar,4,0,,
734789,23-Mar,4,0,,
654623,23-Mar,4,0,,
990993,23-Mar,1,0,,
762527,23-Mar,4,0,,
602241,23-Mar,1,1,,
491521,23-Mar,3,0,,
832348,23-Mar,3,1,,
567671,23-Mar,4,0,,
540618,23-Mar,3,0,,
687218,23-Mar,3,1,,
328457,23-Mar,3,0,,
300159,23-Mar,3,1,,
378676,23-Mar,3,0,,
532965,23-Mar,4,0,,
305754,23-Mar,1,0,,
611575,23-Mar,3,0,,
621677,23-Mar,3,0,,
306177,23-Mar,4,0,,
901144,23-Mar,3,0,,
53833,23-Mar,4,0,,
490602,23-Mar,4,0,,
287070,23-Mar,1,0,,
317242,23-Mar,3,0,,
461804,23-Mar,3,0,,
820541,23-Mar,3,0,,
91670,23-Mar,3,1,,
144124,23-Mar,3,1,,
677542,23-Mar,1,0,,
604184,23-Mar,1,0,,
968887,23-Mar,4,0,,
700048,23-Mar,3,1,,
473647,23-Mar,3,0,,
753354,23-Mar,3,0,,
490939,23-Mar,4,0,,
970529,23-Mar,3,1,,
433521,23-Mar,3,1,,
927651,23-Mar,3,0,,
942001,23-Mar,3,1,,
585299,23-Mar,3,0,,
52729,23-Mar,4,0,,
661577,23-Mar,3,0,,
951463,23-Mar,4,0,,
243235,23-Mar,3,1,,
564692,23-Mar,2,0,,
131748,23-Mar,2,0,,
913428,23-Mar,2,0,,
726958,23-Mar,3,0,,
425341,23-Mar,1,0,,
677169,23-Mar,2,0,,
26060,23-Mar,3,0,,
237083,23-Mar,2,0,,
669378,23-Mar,3,0,,
890623,23-Mar,2,0,,
818990,23-Mar,1,0,,
349294,23-Mar,3,1,,
552883,23-Mar,2,0,,
555121,23-Mar,3,0,,
89084,23-Mar,2,0,,
329351,23-Mar,3,0,,
324809,23-Mar,2,0,,
337168,23-Mar,2,0,,
659290,23-Mar,3,0,,
883013,23-Mar,3,0,,
455083,23-Mar,2,0,,
949818,23-Mar,3,0,,
361361,23-Mar,3,0,,
378230,23-Mar,3,0,,
762527,23-Mar,1,0,,
587420,23-Mar,2,0,,
491521,23-Mar,1,0,,
914071,23-Mar,2,0,,
567671,23-Mar,3,0,,
378287,23-Mar,2,0,,
118820,23-Mar,3,0,,
667163,23-Mar,2,0,,
228286,23-Mar,1,0,,
365132,23-Mar,3,0,,
689769,23-Mar,2,0,,
305754,23-Mar,3,0,,
623234,23-Mar,3,0,,
272170,23-Mar,3,0,,
487931,23-Mar,2,0,,
901144,23-Mar,2,0,,
945635,23-Mar,3,0,,
490602,23-Mar,3,0,,
131136,23-Mar,2,0,,
993331,23-Mar,1,0,,
807452,23-Mar,2,0,,
36412,23-Mar,2,0,,
94225,23-Mar,2,0,,
435929,23-Mar,2,0,,
552496,23-Mar,2,0,,
144124,23-Mar,3,0,,
697683,23-Mar,3,0,,
894539,23-Mar,3,0,,
365133,23-Mar,2,0,,
767398,23-Mar,3,0,,
473647,23-Mar,1,0,,
647462,23-Mar,3,0,,
803607,23-Mar,3,0,,
859361,23-Mar,3,0,,
600767,23-Mar,2,0,,
784827,23-Mar,3,0,,
6405,23-Mar,3,0,,
820973,23-Mar,3,0,,
367391,23-Mar,3,0,,
930284,23-Mar,3,0,,
82484,23-Mar,3,0,,
707935,23-Mar,3,0,,
52729,23-Mar,3,0,,
256783,23-Mar,3,0,,
537274,23-Mar,1,0,,
757274,23-Mar,3,0,,
613942,23-Mar,1,0,,
723678,23-Mar,1,0,,
677169,23-Mar,3,0,,
706112,23-Mar,3,0,,
557908,23-Mar,2,0,,
837480,23-Mar,2,0,,
566052,23-Mar,2,0,,
137909,23-Mar,2,0,,
264803,23-Mar,3,0,,
851978,23-Mar,3,0,,
123983,23-Mar,3,0,,
679284,23-Mar,3,0,,
240179,23-Mar,3,0,,
673058,23-Mar,3,0,,
516376,23-Mar,1,0,,
478531,23-Mar,3,0,,
812607,23-Mar,2,0,,
871592,23-Mar,2,0,,
70969,23-Mar,3,0,,
397973,23-Mar,3,0,,
462526,23-Mar,2,0,,
217710,23-Mar,2,0,,
89084,23-Mar,3,0,,
888807,23-Mar,2,0,,
891833,23-Mar,1,0,,
500739,23-Mar,2,0,,
798639,23-Mar,3,0,,
592784,23-Mar,2,0,,
734789,23-Mar,2,0,,
949818,23-Mar,1,0,,
690565,23-Mar,1,0,,
378230,23-Mar,2,0,,
658389,23-Mar,3,0,,
481843,23-Mar,3,0,,
118820,23-Mar,2,0,,
712003,23-Mar,3,0,,
969851,23-Mar,2,0,,
954722,23-Mar,3,0,,
925482,23-Mar,3,0,,
306177,23-Mar,1,0,,
53833,23-Mar,3,0,,
903336,23-Mar,1,0,,
131136,23-Mar,3,0,,
461804,23-Mar,2,0,,
704868,23-Mar,2,0,,
18035,23-Mar,2,0,,
336847,23-Mar,3,0,,
144124,23-Mar,2,0,,
677542,23-Mar,3,0,,
604184,23-Mar,3,0,,
697683,23-Mar,1,0,,
739534,23-Mar,2,0,,
365133,23-Mar,3,0,,
133542,23-Mar,1,0,,
9436,23-Mar,3,0,,
112390,23-Mar,3,0,,
34200,23-Mar,3,0,,
684939,23-Mar,2,0,,
219598,23-Mar,2,0,,
140154,23-Mar,3,0,,
449106,23-Mar,3,0,,
615545,23-Mar,3,0,,
853932,23-Mar,3,0,,
51036,23-Mar,2,0,,
953175,23-Mar,3,0,,
564692,23-Mar,3,0,,
537274,23-Mar,3,0,,
525531,23-Mar,2,0,,
913428,23-Mar,3,0,,
757274,23-Mar,1,0,,
677169,23-Mar,1,0,,
56589,23-Mar,2,0,,
33797,23-Mar,2,0,,
123983,23-Mar,2,0,,
237083,23-Mar,1,0,,
444361,23-Mar,2,0,,
679284,23-Mar,2,0,,
240179,23-Mar,1,0,,
114414,23-Mar,1,0,,
153019,23-Mar,1,0,,
11422,23-Mar,4,0,,
848226,23-Mar,4,0,,
222892,23-Mar,4,0,,
516376,23-Mar,4,0,,
39154,23-Mar,1,0,,
812607,23-Mar,1,0,,
14145,23-Mar,1,0,,
70969,23-Mar,4,0,,
89084,23-Mar,1,0,,
136533,23-Mar,1,0,,
257719,23-Mar,1,0,,
500633,23-Mar,4,0,,
337168,23-Mar,4,0,,
578097,23-Mar,1,0,,
487065,23-Mar,1,0,,
291238,23-Mar,4,0,,
654623,23-Mar,1,0,,
313754,23-Mar,4,0,,
658389,23-Mar,4,0,,
378287,23-Mar,4,0,,
712003,23-Mar,4,0,,
513199,23-Mar,1,0,,
962054,23-Mar,1,0,,
378676,23-Mar,1,0,,
365132,23-Mar,1,0,,
491314,23-Mar,4,0,,
954722,23-Mar,4,0,,
652118,23-Mar,1,0,,
876139,23-Mar,1,0,,
120532,23-Mar,1,0,,
760684,23-Mar,1,0,,
490602,23-Mar,1,0,,
644847,23-Mar,4,0,,
327290,23-Mar,1,0,,
455755,23-Mar,1,0,,
448752,23-Mar,1,0,,
863930,23-Mar,1,0,,
9436,23-Mar,1,0,,
803607,23-Mar,4,0,,
684939,23-Mar,1,0,,
140154,23-Mar,1,0,,
120385,23-Mar,1,0,,
661577,23-Mar,4,0,,
243235,23-Mar,1,0,,
186168,23-Mar,4,0,,
537274,23-Mar,4,0,,
760828,23-Mar,1,0,,
451812,23-Mar,1,0,,
274207,23-Mar,4,0,,
706112,23-Mar,1,0,,
851978,23-Mar,4,0,,
992178,23-Mar,1,0,,
679284,23-Mar,1,0,,
284460,23-Mar,1,0,,
77308,23-Mar,1,0,,
555121,23-Mar,1,0,,
818522,23-Mar,4,0,,
146840,23-Mar,1,0,,
839170,23-Mar,1,0,,
734789,23-Mar,1,0,,
291238,23-Mar,1,0,,
602241,23-Mar,4,0,,
681063,23-Mar,1,0,,
689769,23-Mar,1,0,,
305754,23-Mar,4,0,,
33955,23-Mar,1,0,,
606256,23-Mar,1,0,,
611575,23-Mar,4,0,,
53833,23-Mar,1,0,,
903336,23-Mar,4,0,,
945635,23-Mar,1,0,,
937542,23-Mar,1,0,,
451933,23-Mar,4,0,,
94225,23-Mar,1,0,,
435929,23-Mar,4,0,,
820541,23-Mar,4,0,,
747801,23-Mar,1,0,,
365133,23-Mar,1,0,,
753354,23-Mar,1,0,,
140489,23-Mar,1,0,,
256051,23-Mar,2,0,,
784827,23-Mar,2,0,,
970529,23-Mar,2,0,,
440875,23-Mar,1,0,,
942001,23-Mar,1,0,,
256783,23-Mar,1,0,,
186168,23-Mar,1,0,,
525531,23-Mar,1,0,,
771228,23-Mar,1,0,,
760828,23-Mar,2,0,,
56589,23-Mar,1,0,,
222892,23-Mar,1,0,,
349294,23-Mar,1,0,,
847349,23-Mar,1,0,,
67197,23-Mar,1,0,,
880510,23-Mar,1,0,,
741341,23-Mar,2,0,,
798639,23-Mar,2,0,,
990993,23-Mar,2,0,,
952168,23-Mar,2,0,,
542300,23-Mar,1,0,,
567671,23-Mar,1,0,,
60619,23-Mar,1,0,,
962591,23-Mar,1,0,,
